kernel,backend,family,kind,level,width,stack,developed,dtypes,file,symbol,driver,check,rtol,arch,tuned_for,sides
gated_projection_bwd_gate_recompute_flat_triton,triton,triangle_multiplication,elem,token,pair,trunk,yes,bf16,miniworld_engine/modules/triangle_multiplication/baseline_dtv1.py,_gated_gemm_bwd_elemwise_kernel,miniworld_engine.kernels.drivers.triangle_multiplication:gated_projection_bwd_gate_recompute_flat_triton,miniworld_engine.kernels.checks.triangle_multiplication:gated_projection_bwd_gate_recompute_flat_triton,1.4e-2,sm80,,
trimul_gemm_gate_saveact_triton,triton,triangle_multiplication,gemm,token,pair,trunk,yes,bf16,miniworld_engine/modules/triangle_multiplication/baseline_dtv1.py,_input_gated_gemm_kernel,miniworld_engine.kernels.drivers.triangle_multiplication:trimul_gemm_gate_saveact_triton,miniworld_engine.kernels.checks.triangle_multiplication:trimul_gemm_gate_saveact_triton,9.8e-3,sm80,,
trimul_outproj_gemm_gate_saveact_triton,triton,triangle_multiplication,gemm,token,pair,trunk,yes,bf16,miniworld_engine/modules/triangle_multiplication/baseline_dtv1.py,_output_gated_gemm_kernel,miniworld_engine.kernels.drivers.triangle_multiplication:trimul_outproj_gemm_gate_saveact_triton,miniworld_engine.kernels.checks.triangle_multiplication:trimul_outproj_gemm_gate_saveact_triton,8.9e-3,sm80,,
trimul_gemm_gate_packed_sm100_cute,cute,trimul_inproj,gemm,token,,trunk,,bf16,miniworld_engine/kernels/trimul_inproj/cute/front_fused_gemm_sm100.py,FusedPreactGemmKernel.kernel,miniworld_engine.kernels.drivers.trimul_inproj:fused_preact_gemm_kernel,,,sm100,,
gated_projection_bwd_gate_dropres_triton,triton,trimul_inproj,elem,token,pair,trunk,yes,bf16,miniworld_engine/kernels/trimul_inproj/triton/gate_elem.py,_gate_elem_bwd_ew_kernel,miniworld_engine.kernels.drivers.trimul_inproj:gated_projection_bwd_gate_dropres_triton,miniworld_engine.kernels.checks.trimul_inproj:gated_projection_bwd_gate_dropres_triton,1.3e-2,sm80,,
gated_projection_gate_dropres_triton,triton,trimul_inproj,elem,token,pair,trunk,yes,bf16,miniworld_engine/kernels/trimul_inproj/triton/gate_elem.py,_gate_mul_kernel,miniworld_engine.kernels.drivers.trimul_inproj:gated_projection_gate_dropres_triton,miniworld_engine.kernels.checks.trimul_inproj:gated_projection_gate_dropres_triton,1.2e-2,sm80,,
trimul_bwd_gate_packed_recompute_triton,triton,trimul_inproj,elem,token,pair,trunk,yes,bf16,miniworld_engine/kernels/trimul_inproj/triton/back_fused.py,_dconcat_sig_kernel,miniworld_engine.kernels.drivers.trimul_inproj:trimul_bwd_gate_packed_recompute_triton,miniworld_engine.kernels.checks.trimul_inproj:trimul_bwd_gate_packed_recompute_triton,8.9e-3,sm80,,
trimul_bwd_gate_packed_triton,triton,trimul_inproj,elem,token,pair,trunk,yes,bf16,miniworld_engine/kernels/trimul_inproj/triton/back_fused.py,_dconcat_kernel,miniworld_engine.kernels.drivers.trimul_inproj:trimul_bwd_gate_packed_triton,miniworld_engine.kernels.checks.trimul_inproj:trimul_bwd_gate_packed_triton,1.5e-2,sm80,,
trimul_gemm_gate_mmajor_triton,triton,trimul_inproj,gemm,token,pair,trunk,yes,bf16,miniworld_engine/kernels/trimul_inproj/triton/bidirectional.py,_bidir_front_kernel,miniworld_engine.kernels.drivers.trimul_inproj:trimul_gemm_gate_mmajor_triton,miniworld_engine.kernels.checks.trimul_inproj:trimul_gemm_gate_mmajor_triton,1.4e-2,sm80,,
trimul_outproj_layernorm_gemm_gate_triton,triton,trimul_inproj,gemm,token,pair,trunk,yes,bf16,miniworld_engine/kernels/trimul_inproj/triton/back.py,_back_kernel,miniworld_engine.kernels.drivers.trimul_inproj:trimul_outproj_layernorm_gemm_gate_triton,miniworld_engine.kernels.checks.trimul_inproj:trimul_outproj_layernorm_gemm_gate_triton,1.2e-2,sm80,,
rmsnorm_fwd_triton,triton,rmsnorm,reduce,both,both,both,yes,bf16,miniworld_engine/kernels/rmsnorm/triton/main.py,rmsnorm_fwd_kernel,miniworld_engine.kernels.drivers.rmsnorm:rmsnorm_fwd_triton,miniworld_engine.kernels.checks.rmsnorm:rmsnorm_fwd_triton,3.2e-3,sm80,,pair|token|atom
rmsnorm_bwd_triton,triton,rmsnorm,reduce,both,both,both,yes,bf16,miniworld_engine/kernels/rmsnorm/triton/main.py,rmsnorm_bwd_kernel,miniworld_engine.kernels.drivers.rmsnorm:rmsnorm_bwd_triton,miniworld_engine.kernels.checks.rmsnorm:rmsnorm_bwd_triton,8.4e-3,sm80,,pair|token|atom
rmsnorm_adamod_fwd_triton,triton,rmsnorm_adamod,gemm,both,both,both,yes,bf16,miniworld_engine/kernels/rmsnorm/triton/main.py,rmsnorm_adamod_fwd_kernel,miniworld_engine.kernels.drivers.rmsnorm_adamod:rmsnorm_adamod_fwd_triton,miniworld_engine.kernels.checks.rmsnorm_adamod:rmsnorm_adamod_fwd_triton,8.0e-3,sm80,,token|atom
rmsnorm_adamod_bwd_triton,triton,rmsnorm_adamod,gemm,both,both,both,yes,bf16,miniworld_engine/kernels/rmsnorm/triton/main.py,rmsnorm_adamod_bwd_kernel,miniworld_engine.kernels.drivers.rmsnorm_adamod:rmsnorm_adamod_bwd_triton,miniworld_engine.kernels.checks.rmsnorm_adamod:rmsnorm_adamod_bwd_triton,1.2e-2,sm80,,token|atom
